Слово,Частота встреч в раз,Частота встреч в %
неаполитанским,2,0.0
неаполитанский,9,0.0
неаполя,2,0.0
итальянцев,2,0.0
viva,1,0.0
re,1,0.0
savent,1,0.0
сожалел,1,0.0
покидаемых,1,0.0
данциге,1,0.0
régner,3,0.0
vôtre,2,0.0
разъевшийся,1,0.0
зажиревший,1,0.0
почуяв,2,0.0
упряжке,1,0.0
оглоблях,1,0.0
разрядившись,1,0.0
пестрее,1,0.0
дорогам,3,0.0
королевски,2,0.0
machevе,1,0.0
превозмогая,1,0.0
представлявшуюся,1,0.0
милостивым,2,0.0
королевское,2,0.0
оставило,2,0.0
свойственный,2,0.0
холку,1,0.0
обстоятельстве,1,0.0
maître,5,0.0
désire,5,0.0
падежах,1,0.0
неизбежною,1,0.0
учащения,1,0.0
довольством,1,0.0
balachoff,1,0.0
royauté,1,0.0
царствовать,8,0.0
бальмашев,1,0.0
изво,1,0.0
лите,1,0.0
союзник,1,0.0
дожидавшейся,1,0.0
вывода,4,0.0
оскорблено,1,0.0
требовании,2,0.0
зачинщиком,2,0.0
начинатель,1,0.0
empereurs,1,0.0
arrangent,1,0.0
termine,1,0.0
tôt,1,0.0
ссору,1,0.0
расспросам,1,0.0
великом,4,0.0
воспоминаниях,4,0.0
проведенного,2,0.0
королевском,1,0.0
достоинстве,2,0.0
помахивая,2,0.0
retiens,3,0.0
souhaite,1,0.0
mission,1,0.0
шитою,1,0.0
мантией,1,0.0
драгоценностями,1,0.0
ожидавшей,1,0.0
скорой,1,0.0
часовые,4,0.0
даву,45,0.01
селения,2,0.0
вызванный,3,0.0
покончили,2,0.0
начатая,1,0.0
окончилась,1,0.0
задерживаю,1,0.0
посольству,1,0.0
организма,2,0.0
организме,1,0.0
являются,6,0.0
держатся,2,0.0
необходимостью,4,0.0
выдергивавший,1,0.0
нерв,4,0.0
необразованный,1,0.0
непридворный,1,0.0
рыцарски,1,0.0
благородном,1,0.0
нежном,3,0.0
сарае,6,0.0
крестьянской,2,0.0
боченке,1,0.0
письменными,2,0.0
поверял,2,0.0
маршал,18,0.0
ставят,2,0.0
мрачными,4,0.0
бочке,1,0.0
грязном,2,0.0
оживлению,2,0.0
мрачную,2,0.0
упорную,1,0.0
ввели,6,0.0
прекрасного,1,0.0
мюратом,2,0.0
чтό,45,0.01
суровее,1,0.0
грубее,1,0.0
пакет,4,0.0
enverrai,1,0.0
исполняются,3,0.0
зависимость,6,0.0
заключавший,1,0.0
торчали,3,0.0
петли,1,0.0
положенной,1,0.0
выразившееся,1,0.0
доставили,2,0.0
оказано,3,0.0
должное,4,0.0
сарая,6,0.0
кастре,6,0.0
приготовленное,3,0.0
маршалом,1,0.0
бочках,1,0.0
багажом,1,0.0
четырехдневного,1,0.0
подвластности,1,0.0
ощутительного,1,0.0
багажами,1,0.0
занимавшими,1,0.0
привезен,2,0.0
занятую,1,0.0
заставу,4,0.0
императорский,1,0.0
turenne,3,0.0
удостоить,1,0.0
пажей,1,0.0
ожидавших,2,0.0
верховой,4,0.0
мамелюка,1,0.0
рустана,1,0.0
отправлял,2,0.0
придворной,7,0.0
роскошь,1,0.0
пышность,1,0.0
поразили,2,0.0
тюрен,3,0.0
дожидалось,1,0.0
дюрок,2,0.0
прогулкой,1,0.0
простоял,1,0.0
поспешные,2,0.0
отворились,4,0.0
половинки,2,0.0
окончил,1,0.0
жилетом,1,0.0
спускавшимся,1,0.0
круглый,2,0.0
обтягивавших,2,0.0
жирные,2,0.0
спускалась,1,0.0
серединой,2,0.0
широкого,2,0.0
пухлая,2,0.0
одеколоном,2,0.0
моложавом,1,0.0
выступающим,1,0.0
милостивого,1,0.0
императорского,3,0.0
потолстевшая,1,0.0
выставленным,1,0.0
представительный,1,0.0
осанистый,1,0.0
холе,1,0.0
живущие,2,0.0
сорокалетние,1,0.0
низкий,3,0.0
дорожащий,1,0.0
всякою,1,0.0
снисходящий,1,0.0
интересовала,1,0.0
личность,6,0.0
вынудили,1,0.0
спокойному,1,0.0
дружелюбному,1,0.0
смутил,1,0.0
смущены,2,0.0
оправьтесь,1,0.0
достаточною,1,0.0
паспортов,1,0.0
куракиным,1,0.0
англией,5,0.0
отдаться,4,0.0
высказав,1,0.0
приступит,1,0.0
переговорам,1,0.0
вставить,1,0.0
сложное,1,0.0
удержало,1,0.0
высказываньи,1,0.0
икра,1,0.0
сходя,2,0.0
поспешным,4,0.0
последующей,1,0.0
дрожанье,3,0.0
икры,4,0.0
возвышал,1,0.0
вопросительный,3,0.0
померании,1,0.0
начатия,2,0.0
одер,2,0.0
vibration,1,0.0
mollet,1,0.0
gauche,1,0.0
signe,2,0.0
баденскому,1,0.0
издержал,1,0.0
заключения,3,0.0
обсудить,3,0.0
правоту,4,0.0
неправоту,2,0.0
вступление,7,0.0
речью,9,0.0
возвысить,2,0.0
заключили,3,0.0
турками,4,0.0
красноречием,1,0.0
невоздержанием,1,0.0
склонны,1,0.0
балованные,1,0.0
признак,7,0.0
молдавии,1,0.0
валахии,1,0.0
финляндию,1,0.0
молдавию,1,0.0
валахию,1,0.0
провинций,2,0.0
присоединить,1,0.0
расширил,1,0.0
ботнического,1,0.0
залива,1,0.0
устьев,1,0.0
екатерина,6,0.0
dû,3,0.0
règne,6,0.0
окружить,1,0.0
штейнов,1,0.0
армфельдтов,1,0.0
бенигсенов,1,0.0
винцингероде,11,0.0
штейн,7,0.0
прогнанный,1,0.0
армфельдт,2,0.0
развратник,1,0.0
интриган,1,0.0
беглый,2,0.0
подданный,1,0.0
неспособный,1,0.0
ужасные,1,0.0
успевая,1,0.0
поспевать,4,0.0
возникающими,1,0.0
показывающими,1,0.0
чт,1,0.0
понятии,5,0.0
годятся,2,0.0
барклай,22,0.0
дельнее,3,0.0
пфуль,29,0.01
спорит,2,0.0
рассматривает,7,0.0
призванный,3,0.0
глазомер,1,0.0
безобразной,1,0.0
компрометируют,1,0.0
сваливают,1,0.0
вызов,2,0.0
полководцем,2,0.0
сумели,1,0.0
защитить,1,0.0
разрезаны,3,0.0
надвое,1,0.0
прогнаны,1,0.0
ропщет,1,0.0
успевавший,1,0.0
следовавший,2,0.0
фейерверком,1,0.0
горят,4,0.0
cinq,1,0.0
cent,2,0.0
trente,2,0.0
vistule,2,0.0
замирившись,1,0.0
шведы,1,0.0
предопределение,1,0.0
управляемыми,1,0.0
сумасшедшими,1,0.0
королями,2,0.0
переменили,1,0.0
бернадота,1,0.0
сумасшедший,4,0.0
шведом,1,0.0
заключать,1,0.0
союзы,1,0.0
россией,9,0.0
безумия,6,0.0
шведов,1,0.0
530,3,0.0
вислы,3,0.0
сжимался,1,0.0
забытьем,1,0.0
опомнится,1,0.0
устыдится,1,0.0
дерутся,6,0.0
львы,1,0.0
возмутившись,1,0.0
очевидную,2,0.0
покорной,3,0.0
поколеблете,1,0.0
сотру,1,0.0
искаженным,1,0.0
заброшу,1,0.0
двину,1,0.0
днепр,4,0.0
восстановлю,1,0.0
преграду,2,0.0
преступна,1,0.0
слепа,1,0.0
выиграли,1,0.0
удалившись,1,0.0
жилетный,1,0.0
мрачном,3,0.0
ожидают,2,0.0
изгибающийся,1,0.0
носовой,4,0.0
уверьте,1,0.0
предан,6,0.0
recevrez,2,0.0
взрывов,1,0.0
непристойной,1,0.0
дюрока,1,0.0
бессьер,1,0.0
коленкур,3,0.0
вспышку,1,0.0
ободрить,1,0.0
существовало,6,0.0
ошибок,8,0.0
сходилось,2,0.0
улиц,4,0.0
выставлены,1,0.0
ковры,10,0.0
приветствуя,2,0.0
сочувствовали,1,0.0
планам,2,0.0
прочим,4,0.0
столице,8,0.0
любознательный,1,0.0
путешественник,1,0.0
намеревается,1,0.0
любознательностью,1,0.0
называют,8,0.0
бездна,1,0.0
набожны,1,0.0
монастырей,2,0.0
отсталости,1,0.0
коленкура,2,0.0
оценкой,1,0.0
мнением,3,0.0
страны,10,0.0
нравы,3,0.0
испания,1,0.0
намекавший,1,0.0
недавнее,2,0.0
испании,4,0.0
оценен,3,0.0
рассказам,5,0.0
недоумевающим,2,0.0
недоумевали,1,0.0
острота,1,0.0
намекала,1,0.0
интонация,1,0.0
прямая,1,0.0
rome,4,0.0
святою,2,0.0
путей,3,0.0
полтаву,1,0.0
удаче,1,0.0
досказать,1,0.0
poltawa,1,0.0
неудобствах,1,0.0
потрогивая,1,0.0
севрской,2,0.0
послеобеденное,1,0.0
довольным,1,0.0
обожающими,1,0.0
обожателем,4,0.0
сомневаясь,1,0.0
доказывало,3,0.0
совещались,2,0.0
втолкнуло,1,0.0
свеж,1,0.0
выгоню,2,0.0
германии,7,0.0
виртембергских,2,0.0
баденских,1,0.0
веймарских,1,0.0
рим,2,0.0
убежище,7,0.0
откланяться,2,0.0
послу,1,0.0
унижению,1,0.0
ремесло,1,0.0
oreille,2,0.0
tirée,1,0.0
empereur1,1,0.0
милостью,1,0.0
courtisan,3,0.0
admirateur3,1,0.0
выдранным,1,0.0
обожатель,1,0.0
осведомился,2,0.0
молдавскую,2,0.0
расположенного,1,0.0
назначался,1,0.0
турцию,2,0.0
неудобным,1,0.0
подав,1,0.0
компрометирующим,1,0.0
личной,8,0.0
турецкую,1,0.0
измены,1,0.0
скрывал,7,0.0
тяжелы,3,0.0
богучарове,13,0.0
риме,2,0.0
раскрывавших,1,0.0
светлые,3,0.0
горизонты,1,0.0
практические,3,0.0
ухватывался,1,0.0
льшею,5,0.0
жадностью,1,0.0
закрытее,1,0.0
бесконечный,1,0.0
свод,3,0.0
превратился,1,0.0
определенный,3,0.0
давивший,1,0.0
представлявшихся,2,0.0
деятельностей,1,0.0
военная,6,0.0
состоя,1,0.0
удивляя,4,0.0
унижаться,2,0.0
вымещено,1,0.0
излита,1,0.0
отравляло,1,0.0
искусственное,1,0.0
хлопотливой,1,0.0
честолюбивой,1,0.0
тщеславной,1,0.0
букарешта,1,0.0
валашки,1,0.0
перевода,63,0.01
западную,1,0.0
служившею,1,0.0
барклаю,12,0.0
толли,18,0.0
мае,1,0.0
дрисском,2,0.0
заехал,5,0.0
смоленского,1,0.0
большака,1,0.0
передумал,2,0.0
перечувствовал,1,0.0
перевидел,1,0.0
заснувший,1,0.0
замок,1,0.0
степенность,1,0.0
мебели,1,0.0
робкие,1,0.0
постаревшие,1,0.0
стареющаяся,1,0.0
проживающая,1,0.0
пользующаяся,1,0.0
каждою,2,0.0
исполненная,1,0.0
кокетливая,1,0.0
увереннее,1,0.0
воспитатель,2,0.0
десаль,22,0.0
коверкая,1,0.0
слугами,2,0.0
ограниченно,1,0.0
образованный,3,0.0
педантический,1,0.0
недоверием,4,0.0
мпре,1,0.0
оброс,1,0.0
веселясь,1,0.0
хорошенького,1,0.0
ротика,1,0.0
поднимала,3,0.0
слушался,1,0.0
неизменностн,1,0.0
заколдованном,1,0.0
спящем,1,0.0
разделены,2,0.0
чуждые,2,0.0
враждебные,1,0.0
мамки,1,0.0
обедали,1,0.0
стесняет,1,0.0
неестественность,1,0.0
расшевелить,1,0.0
каменского,1,0.0
нелюбовь,1,0.0
предана,1,0.0
раздражает,1,0.0
баловством,1,0.0
портит,1,0.0
отдалился,1,0.0
бестолкового,2,0.0
разлад,2,0.0
винить,1,0.0
андреи,2,0.0
присудил,2,0.0
упросила,1,0.0
кудрявый,2,0.0
сказывать,2,0.0
досказав,1,0.0
хорошеньком,1,0.0
мальчике,3,0.0
раздражил,1,0.0
уезжает,5,0.0
главнее,1,0.0
приласкав,2,0.0
закапали,1,0.0
испугавшею,1,0.0
ничтожеством,1,0.0
делавшую,1,0.0
сияющими,2,0.0
ока,2,0.0
уверенным,4,0.0
наказывать,3,0.0
невымещенная,1,0.0
уговаривает,1,0.0
злобной,1,0.0
минуте,3,0.0
встретит,1,0.0
помирившись,1,0.0
растравится,1,0.0
раздор,2,0.0
rappelez,2,0.0
malheurs,2,0.0
coupables,1,0.0
аллеи,3,0.0
съедение,1,0.0
выжившему,2,0.0
растет,9,0.0
обманутым,1,0.0
обманывающим,2,0.0
презираю,1,0.0
вязались,1,0.0
рассыпалось,1,0.0
бессмысленные,5,0.0
укрепленном,1,0.0
дриссы,6,0.0
стремясь,3,0.0
нашествия,6,0.0
перенесена,13,0.0
западных,1,0.0
барклая,16,0.0
местечка,1,0.0
окрестностях,3,0.0
располагалось,1,0.0
окружности,1,0.0
доложит,1,0.0
покамест,1,0.0
производящейся,1,0.0
освободиться,1,0.0
развлечения,3,0.0
требуем,3,0.0
объездил,2,0.0
укрепленный,4,0.0
знаний,2,0.0
сведущими,1,0.0
выгоден,2,0.0
нерешенным,1,0.0
опыта,7,0.0
обдуманные,1,0.0
отвечают,5,0.0
предвиденными,1,0.0
ведется,3,0.0
знакомствами,1,0.0
партий,7,0.0
оном,1,0.0
разделена,1,0.0
тормасова,1,0.0
приказах,1,0.0
квартирмейстер,1,0.0
иностранцев,6,0.0
константин,4,0.0
румянцев,3,0.0
армфельд,8,0.0
шведский,6,0.0
составитель,1,0.0
паулучи,17,0.0
сардинский,3,0.0
выходец,3,0.0
вольцоген,18,0.0
должностей,2,0.0
корпусный,1,0.0
советует,4,0.0
истекает,1,0.0
обстановка,1,0.0
существенный,6,0.0
ясен,1,0.0
помощники,1,0.0
исполнитель,1,0.0
блюститель,3,0.0
телохранитель,2,0.0
honneurs1,1,0.0
полезный,2,0.0
наготове,2,0.0
ненавистник,1,0.0
пфуле,1,0.0
передававший,1,0.0
пфуля,12,0.0
доступной,1,0.0
самоуверенный,3,0.0
кабинетный,1,0.0
теоретик,1,0.0
смелостью,2,0.0
второстепенных,1,0.0
принципалы,1,0.0
беспокойном,1,0.0
подразделения,1,0.0
последователи,2,0.0
теоретики,2,0.0
верящие,1,0.0
наука,27,0.0
неизменные,1,0.0
облического,2,0.0
обхода,1,0.0
точным,2,0.0
предписанным,1,0.0
мнимою,1,0.0
теорией,2,0.0
теории,20,0.0
необразованность,1,0.0
злонамеренность,1,0.0
немецкие,1,0.0
принцы,1,0.0
противуположная,1,0.0
представители,4,0.0
вильны,8,0.0
составленных,1,0.0
смелых,1,0.0
представителями,1,0.0
национальности,2,0.0
одностороннее,1,0.0
начинавший,2,0.0
возвышаться,1,0.0
ермолов,22,0.0
распространена,1,0.0
ермолова,8,0.0
производства,2,0.0
накалывать,1,0.0
иголками,1,0.0
впускать,1,0.0
делатели,1,0.0
сделок,1,0.0
направлениями,2,0.0
гением,7,0.0
глубокомысленнейших,1,0.0
гениален,4,0.0
односторонни,1,0.0
доверять,1,0.0
опытные,2,0.0
среднее,4,0.0
настояли,1,0.0
дрисский,5,0.0
армий,7,0.0
достигалась,3,0.0
видным,1,0.0
представителем,2,0.0
смятении,1,0.0
высказывали,2,0.0
срама,1,0.0
витебск,3,0.0
дриссу,1,0.0
воззрение,14,0.0
распространенное,1,0.0
поддержку,1,0.0
канцлере,1,0.0
румянцеве,1,0.0
государственным,3,0.0
стоявшем,1,0.0
пятые,2,0.0
приверженцы,1,0.0
дельный,1,0.0
единства,4,0.0
финляндии,1,0.0
понесши,1,0.0
поражений,3,0.0
заменят,1,0.0
бенигсеном,8,0.0
погибнет,2,0.0
шестые,2,0.0
бенигсенисты,1,0.0
опытнее,2,0.0
придешь,1,0.0
постыднейшее,1,0.0
беспрерывный,1,0.0
наделают,2,0.0
седьмые,1,0.0
государях,3,0.0
преданные,1,0.0
обожающие,3,0.0
обожал,2,0.0
видящие,1,0.0
скромностью,1,0.0
отказывавшегося,1,0.0
осуждали,3,0.0
излишнюю,1,0.0
настаивали,4,0.0
излишнее,1,0.0
недоверие,3,0.0
советуясь,1,0.0
опытными,1,0.0
теоретиками,1,0.0
практиками,1,0.0
воодушевления,2,0.0
восьмая,2,0.0
огромному,1,0.0
желавших,1,0.0
наступательных,2,0.0
оборонительного,1,0.0
дриссе,3,0.0
существенного,1,0.0
наибольших,2,0.0
мутной,2,0.0
перекрещивающихся,1,0.0
перепутывающихся,1,0.0
кишели,1,0.0
немыслимо,11,0.0
выгодного,2,0.0
пфулем,7,0.0
противником,2,0.0
послезавтра,1,0.0
утверждал,2,0.0
предмете,4,0.0
ответственности,5,0.0
желающий,1,0.0
намекнул,2,0.0
несоглашающихся,1,0.0
жертвою,1,0.0
выпрашивал,1,0.0
отсутствии,5,0.0
единовременное,1,0.0
пособие,1,0.0
попадался,1,0.0
отягченный,1,0.0
пятый,10,0.0
ожесточенно,1,0.0
выступившего,1,0.0
справедливые,1,0.0
рубли,1,0.0
ловлении,1,0.0
следили,1,0.0
направлением,4,0.0
царской,2,0.0
флюгер,1,0.0
трутневое,1,0.0
дуть,1,0.0
повернуть,1,0.0
неопределенности,3,0.0
угрожающей,1,0.0
придававшей,2,0.0
тревожный,1,0.0
вихря,1,0.0
самолюбий,1,0.0
столкновений,3,0.0
воззрений,5,0.0
разноплеменности,1,0.0
личными,6,0.0
запутанность,1,0.0
смутность,1,0.0
трутней,2,0.0
оттрубив,1,0.0
темой,1,0.0
перелетал,1,0.0
жужжанием,1,0.0
заглушал,4,0.0
затемнял,3,0.0
искренние,1,0.0
спорящие,1,0.0
девятая,1,0.0
начинавшая,1,0.0
государственно,1,0.0
опытных,2,0.0
умевших,2,0.0
противоречащих,2,0.0
отвлеченно,1,0.0
запутанности,1,0.0
условная,1,0.0
колеблющаяся,2,0.0
шаткость,1,0.0
удобна,1,0.0
вредна,4,0.0
войском,4,0.0
парализирует,1,0.0
нужных,3,0.0
обеспечения,1,0.0
безопасности,5,0.0
связанного,2,0.0
шишков,2,0.0
представителей,2,0.0
воодушевить,3,0.0
одушевление,2,0.0
воззвание,8,0.0
защиты,9,0.0
произведено,3,0.0
личным,1,0.0
оставления,8,0.0
подано,2,0.0
могущем,1,0.0
опасным,6,0.0
оказавшееся,2,0.0
мишо,26,0.0
дрисские,1,0.0
oeuvre,3,0.0
ом1,1,0.0
тактики,2,0.0
долженствующим,1,0.0
бессмыслица,2,0.0
занимавшего,4,0.0
помещичий,2,0.0
чернышев,5,0.0
маркизом,1,0.0
объезда,1,0.0
укреплений,5,0.0
дрисского,5,0.0
удобности,1,0.0
залой,1,0.0
орган,1,0.0
навалены,1,0.0
складная,1,0.0
замученный,1,0.0
пирушкой,1,0.0
свернутой,1,0.0
постеле,3,0.0
собраны,5,0.0
неопределенность,1,0.0
предстоящих,2,0.0
избранных,2,0.0
уяснения,1,0.0
полусовет,1,0.0
приглашены,1,0.0
беглым,2,0.0
подданным,3,0.0
cheville,1,0.0
ouvrière1,1,0.0
чернышевым,2,0.0
генеральском,5,0.0
наряженном,1,0.0
шмидт,1,0.0
теоретиков,2,0.0
типичнее,1,0.0
теоретика,1,0.0
соединявшего,1,0.0
немцах,1,0.0
невысок,1,0.0
худ,2,0.0
ширококост,1,0.0
основою,2,0.0
сложения,1,0.0
тазом,1,0.0
лопатками,1,0.0
морщинисто,1,0.0
вставленными,1,0.0
висков,1,0.0
приглажены,1,0.0
щеткой,1,0.0
кисточками,2,0.0
чернышеву,1,0.0
окончить,4,0.0
кивал,5,0.0
чернышева,1,0.0
осматривает,2,0.0
заложил,3,0.0
басисто,1,0.0
самоуверенные,1,0.0
dummkopf,1,0.0
grunde,1,0.0
geschichte,2,0.0
was,2,0.0
gescheites,1,0.0
raus,1,0.0
muss,2,0.0
schöner,1,0.0
tactischer,1,0.0
krieg,2,0.0
gewesen,1,0.0
возбужден,1,0.0
осматривать,4,0.0
короткому,1,0.0
свиданию,1,0.0
аустерлицким,1,0.0
воспоминаниям,3,0.0
ясную,1,0.0
характеристику,1,0.0
мученичества,1,0.0
самоуверенных,1,0.0
отвлеченной,1,0.0
мнимого,1,0.0
самоуверен,5,0.0
почитает,2,0.0
обворожительным,1,0.0
гражданин,1,0.0
благоустроеннейшего,1,0.0
правильно,8,0.0
тактическая,2,0.0
противнее,1,0.0
воображает,4,0.0
абсолютная,4,0.0
теория,10,0.0
выведенная,1,0.0
встречалось,2,0.0
новейшей,1,0.0
варварством,1,0.0
безобразным,1,0.0
столкновением,1,0.0
названы,2,0.0
войнами,2,0.0
теорию,5,0.0
составителей,3,0.0
кончившейся,1,0.0
неправильности,2,0.0
единственною,3,0.0
неудачи,6,0.0
ich,2,0.0
sagte,1,0.0
ja,4,0.0
dass,1,0.0
teufel,1,0.0
gehen,1,0.0
werde,2,0.0
забывают,3,0.0
приложение,41,0.01
практике,3,0.0
практику,1,0.0
неуспеху,1,0.0
неуспех,1,0.0
происходивший,1,0.0
торчавшие,1,0.0
непричесанные,1,0.0
кисточки,1,0.0
причесанные,1,0.0
красноречиво,1,0.0
басистые,1,0.0
ворчливые,1,0.0
пойдёт,1,0.0
слезал,1,0.0
маркиз,3,0.0
conseillé,2,0.0
drissa,2,0.0
незнакомое,1,0.0
alternative,1,0.0
jaune,1,0.0
gibet,1,0.0
слыхав,1,0.0
пройди,1,0.0
михайлович,8,0.0
затворились,2,0.0
разрешением,3,0.0
расположив,1,0.0
ложным,1,0.0
присоветовал,2,0.0
виселица,2,0.0
представившегося,1,0.0
затруднения,6,0.0
предложив,1,0.0
необъяснимую,1,0.0
соединившись,2,0.0
составлен,5,0.0
армфельдом,1,0.0
предлагаемые,1,0.0
основательно,4,0.0
оспаривали,2,0.0
защищали,2,0.0
шведского,2,0.0
бокового,1,0.0
позволение,1,0.0
составленной,4,0.0
армфельда,1,0.0
возражая,1,0.0
западни,1,0.0
переводчик,8,0.0
унизится,3,0.0
вздора,3,0.0
руководивший,2,0.0
прениями,1,0.0
изложение,2,0.0
тылом,1,0.0
italienischen,1,0.0
herrn,3,0.0
одушевившись,1,0.0
испортили,2,0.0
спутали,1,0.0
поправлять,1,0.0
основаниям,2,0.0
изложенным,1,0.0
kinderspiel,1,0.0
карте,5,0.0
целесообразности,1,0.0
предвидено,4,0.0
уничтожен,3,0.0
принципалу,1,0.0
поспевая,1,0.0
плане,4,0.0
математик,2,0.0
доказанную,1,0.0
пфулю,3,0.0
nichts,1,0.0
wahr,1,0.0
exellenz,1,0.0
вольцогена,9,0.0
nun,1,0.0
denn,1,0.0
expliziert,1,0.0
объяснял,3,0.0
волконскому,1,0.0
бестолково,3,0.0
составленного,2,0.0
выведенной,1,0.0
ироничностью,1,0.0
идее,1,0.0
игрушки,2,0.0
скрываемый,1,0.0
панический,2,0.0
высказывавшийся,2,0.0
возражении,1,0.0
разрушали,1,0.0
варваром,2,0.0
оппонентов,1,0.0
отчаянности,2,0.0
самоуверенность,2,0.0
ворчливую,1,0.0
ироничность,1,0.0
жалок,3,0.0
височках,1,0.0
торчавшими,1,0.0
проверить,1,0.0
опыте,1,0.0
ускользал,1,0.0
прения,5,0.0
доходившие,1,0.0
личностей,1,0.0
заключение,7,0.0
сказанного,2,0.0
разноязычный,1,0.0
очевидность,1,0.0
неизвестны,5,0.0
деятелей,4,0.0
труса,1,0.0
закричит,3,0.0
смелый,3,0.0
крикнет,1,0.0
стòит,10,0.0
аустерлицем,7,0.0
практическом,1,0.0
определяется,3,0.0
наступит,1,0.0
негодность,1,0.0
вó,1,0.0
подвезти,1,0.0
облечены,1,0.0
льстят,1,0.0
несвойственные,1,0.0
гениями,2,0.0
признал,3,0.0
самодовольное,2,0.0
ограниченное,2,0.0
особенных,6,0.0
качеств,4,0.0
хорошему,2,0.0
полководцу,1,0.0
философского,1,0.0
пытливого,1,0.0
терпения,1,0.0
пожалеет,4,0.0
исстари,1,0.0
подделали,1,0.0
гениев,5,0.0
заслуга,4,0.0
извещая,2,0.0
разрыв,4,0.0
попытался,2,0.0
бесчестным,1,0.0
предпочел,1,0.0
долгу,3,0.0
брошу,1,0.0
прилечу,1,0.0
помещало,1,0.0
святками,1,0.0
перспективу,1,0.0
дворянских,3,0.0
манили,1,0.0
лихие,2,0.0
выборам,1,0.0
встреченный,1,0.0
посылан,1,0.0
ремонтом,2,0.0
малороссии,1,0.0
отличных,1,0.0
радовали,1,0.0
увеличенным,1,0.0
комплектом,1,0.0
двинут,2,0.0
выдавалось,1,0.0
двойное,1,0.0
прибыли,1,0.0
началу,1,0.0
удовольствиям,1,0.0
интересам,1,0.0
сложным,2,0.0
тактическим,1,0.0
сопровождался,1,0.0
сложною,1,0.0
игрой,1,0.0
умозаключений,4,0.0
главном,3,0.0
отступательный,1,0.0
лучшую,1,0.0
достаточным,1,0.0
интриговать,2,0.0
обжитой,1,0.0
панны,1,0.0
плохи,4,0.0
ближайшем,1,0.0
заводя,1,0.0
польскими,1,0.0
помещиками,1,0.0
отбывая,1,0.0
свенцянам,1,0.0
истреблять,5,0.0
свенцяны,3,0.0
памятны,1,0.0
прозвала,1,0.0
свенцян,3,0.0
свенцянах,1,0.0
жалоб,1,0.0
воспользовавшись,2,0.0
отбирать,1,0.0
забирали,2,0.0
панов,1,0.0
сменил,1,0.0
справиться,2,0.0
перепившимися,1,0.0
увезли,2,0.0
бочек,1,0.0
пива,1,0.0
июля,8,0.0
дождем,5,0.0
бурями,1,0.0
выколосившегося,1,0.0
ржаного,2,0.0
дождь,3,0.0
ливнем,1,0.0
покровительствуемым,1,0.0
ильиным,10,0.0
сгороженным,1,0.0
скорую,1,0.0
шалашиком,1,0.0
продолжавшимися,1,0.0
застигнутый,1,0.0
раевского,14,0.0
салтановского,1,0.0
слышанные,1,0.0
пожимаясь,3,0.0
затекала,1,0.0
невнимательно,2,0.0
ильина,7,0.0
жался,3,0.0
шестнадцатилетний,1,0.0
поступивший,1,0.0
ильин,20,0.0
двойными,2,0.0
здржинский,4,0.0
салтановская,1,0.0
плотина,1,0.0
фермопилами,1,0.0
совершен,5,0.0
раевским,2,0.0
древности,1,0.0
здржинского,4,0.0
стыдится,1,0.0
собственному,2,0.0
опыту,5,0.0
происшествия,1,0.0
врут,1,0.0
опытности,1,0.0
теснил,1,0.0
тесном,1,0.0
шалаше,1,0.0
теснота,1,0.0
раевский,10,0.0
воодушевиться,1,0.0
родительских,1,0.0
шкуре,1,0.0
салтановскую,1,0.0
описывают,8,0.0
фермопилы,1,0.0
защиту,3,0.0
содействовал,1,0.0
прославлению,1,0.0
сомневаешься,1,0.0
замечавший,1,0.0
рубашка,3,0.0
подтекло,1,0.0
приюта,1,0.0
дождик,9,0.0
прибежал,4,0.0
шалашу,1,0.0
корчма,1,0.0
посушимся,1,0.0
генриховна,12,0.0
гусарскими,1,0.0
раскатываясь,1,0.0
утихавшим,1,0.0
нарушаемой,1,0.0
молниями,1,0.0
кибитка,1,0.0
немочка,1,0.0
встреченные,1,0.0
зеваете,1,0.0
течет,1,0.0
замочите,1,0.0
генриховны,6,0.0
запачкать,2,0.0
перегородку,2,0.0
чуланчике,1,0.0
наполняя,1,0.0
свечкой,2,0.0
пустом,2,0.0
ящике,2,0.0
уступить,2,0.0
занавеской,1,0.0
принесшего,1,0.0
печке,1,0.0
утвердив,3,0.0
седлах,3,0.0
покрыли,1,0.0
попоной,1,0.0
самоварчик,1,0.0
полбутылки,1,0.0
генриховну,3,0.0
обтирать,3,0.0
подкладывал,1,0.0
сыро,4,0.0
плащом,1,0.0
завешивал,1,0.0
обмахивал,1,0.0
мух,1,0.0
прислужиться,1,0.0
резать,4,0.0
грязная,4,0.0
крепок,1,0.0
некрепок,1,0.0
самоваре,1,0.0
получать,3,0.0
несовсем,4,0.0
ногтями,1,0.0
ручек,1,0.0
перегородкой,3,0.0
самовару,1,0.0
подчиняясь,3,0.0
генриховной,2,0.0
учтивою,1,0.0
сонном,1,0.0
спавшего,2,0.0
ложка,1,0.0
сахару,1,0.0
размешивать,1,0.0
подлив,1,0.0
размешать,1,0.0
ложку,3,0.0
ведро,1,0.0
капнув,1,0.0
генриховне,1,0.0
вложите,1,0.0
короли,3,0.0
кинули,1,0.0
жребий,3,0.0
правилами,1,0.0
предложению,2,0.0
поцаловать,1,0.0
прохвостом,1,0.0
проснется,2,0.0
королева,4,0.0
спутанная,2,0.0
забавного,1,0.0
